ino	no	title	artist	bpm	slow	nov	adv	exh	mxm	unov	uadv	uexh	umxm	from	at	etc
0003	0030	777	RoughSketch(Notebook Records)	777		07	14	17	19					동인 음악	VI 01	
0004	0069	2094	Yuta Imai vs Blacklolita	162		05	12	14	17				pcb	FLOOR 오리지널	VI 10	
0011	0007	#EmoCloche	#EmoCosine	182		06	13	15	18				pcb	FLOOR 리믹스	VI 01	
0015	0056	#Namescapes	#Namescapes	146		02	12	15	18				pcb	FLOOR 오리지널	VI 06	
0019	0015	*ハロー、プラネット。	sasakure.UK	150		03	09	14	16					VOCALOID	VI 01	미쿠 [로케테]
0021	0075	- Jupiter -	SHIKI	144		04	11	14	17				pcb	BMS	VI 12	
0026	0461	2 Beasts Unchained	kors k vs Yooh	175		07	14	17	19	pcb	pcb	pcb	pcb		X-record (크로스 레코드)	[V]
0038	0353	=∴NOMADE∵OTION=	qfeileadh + yuichi NAGAO	250		06	13	16	18	hexa	hexa	hexa	hexa	FLOOR 오리지널	VI 82	HEXA DIVER이전에 출시된 챕터들을 전부 해금해야 오픈됨. 난이도 무관.
0039	0488	[ ]DENTITY	HuΣeR	200		07	14	17	19	pcb	pcb	pcb	pcb		이치카의 뒤범벅 Mix UP!	SDVX × IIDX
0040	0262	[E]	dj MAX STEROID	152		05	11	14	17	pcb	pcb	pcb	pcb	jubeat 오리지널	VI 62	
0045	0002	ABSOLUTE (saminun mix)	あさり(saminun)	146	61	05	12	14	17				pcb	FLOOR 리믹스	VI 01	
0049	0313	Absurd Gaff (Metallize Remix)	Metal Giant	220		07	14	17	19				pcb	FLOOR 리믹스	VI 73	
0051	0183	Across the Starlight	かゆき	170		06	13	16	18				pcb	FLOOR 오리지널	VI 37	
0056	0276	Aerial Skydive	Dirty Androids	175		05	12	15	17	pcb	pcb	pcb	pcb	REFLEC BEAT 오리지널	VI 64	
0058	0474	Aftermath	Produced by  "猫叉Master & あさき & Yvya"	200		05	12	15	17						BEMANI 2021 한여름의 가합전 5번승부	
0059	0452	Ahoy!! 我ら宝鐘海賊団☆	宝鐘マリン	170		04	12	15	18					호쇼 마린 콜라보레이션	VI 105	
0060	0134	AIM HIGHER	U-ske feat. 棗いつき	168		06	13	16	18	hexa	hexa	hexa	hexa	FLOOR 오리지널	VI 31	HEXA DIVER
