key	content	from
!	패턴 수정 및 난이도 승격	18 @[緋色月下、狂咲ノ絶 (nayuta 2017 ver)][MXM], 18 @[Destr0yer][MXM], 19 @[Bad Elixir][MXM]
112	！すでのな	Ninja Never DieS! @[We Are GamerZ!][명의]
13	트위터 트윗으로 보아 RoughSketch와 Hirayasu Matsudo 합작에 일러스트레이터 未早로 구성된 팀 명의로 추정. 모든 자켓을 잘 보면 유령같이 묘사된 캐릭터를 3명 찾을 수 있는데, 이 중 2명은 RoughSketch의 오너캐인 인형과 Hirayasu Matsudo가 쓰고 다니는 가면과 똑같아 둘의 합작은 거의 확정. 남은 1명의 정체가 아직 불명인데, 자켓 상단에 그려진 리무루의 그림체가 GROOVE COASTER WAI WAI PARTY!!!!에 그려진 마스코트들의 sd모습 그림체와 굉장히 유사해 일러스트를 담당한 未早일 가능성이 높으며, 이미 본토에서는 이 셋으로 잠정 확정중. 다만 마츠도의 트윗에 siromaru, MAD CHILD, Megacycle, Akizuki Nagomu 등 #Namescapes 를 언급한 사람들이 몇명 더 있기 때문에 아직 다른 사람일 가능성이 존재한다. 이들 대부분은 작곡가임과 동시에 이펙팅을 해본 경험이 있기에 누가 작곡가이고 누가 이펙터인지는 아무도 알 수 없다.	#Namescapes @[#Namescapes][명의]
1W	업데이트일 기준 1주일 내에 엔트리 시 즉시 해금, 이후에는 BLASTER GATE에서 해금.	[1W] @[WINNING ROAD][비고], [1W] @[Chat perché][비고], [1W] @[ENDGAME][비고], [1W] @[ИADIR][비고], [1W] @[MURASAME][비고], [1W] @[Ice Fortress][비고], [1W] @[Initiating League][비고], [1W] @[Scat Jazz Dance][비고], [1W] @[灼ナル刃、破カヰ譜][비고], [1W] @[最果ての勇者にラブソングを][비고], [1W] @[Petit espoir][비고], [1W] @[Fl0ating:][비고], [1W] @[Paradigm Shift][비고], [1W] @[イグノアザーズ][비고], [1W] @[trea→journey][비고], [1W] @[Thousand Triggers][비고], [1W] @[MILITARY R04D][비고], [1W] @[DEUX EX MĀXHINĀ][비고], [1W] @[All We Need is HAPPY END!!!][비고], [1W] @[Glory of Fighters][비고], [1W] @[We Are All The Dreamer][비고], [1W] @[Double or Nothing][비고], [1W] @[トリコエリヌム▽コンチェルト][비고], [1W] @[群青纏う朱の槍][비고], [1W] @[CHOVERY GOOSE!!!][비고], [1W] @[V!LLA!N][비고], [1W] @[TOYBOX CANNØN=͟͟͞ Σ≡=｡ﾟ:*.:+｡.☆][비고], [1W] @[ON THE WORLD][비고], [1W] @[花火のおもちゃ箱][비고], [1W] @[イグジスター][비고], [1W] @[La Nostra Storia!][비고], [1W] @[グリーディ・スターズ！][비고], [1W] @[Di-Da-De-Doo][비고], [1W] @[Break Through Δpex][비고], [1W] @[LOVE TONIC][비고], [1W] @[Inevitable Magic][비고], [1W] @[Ars Magna][비고], [1W] @[異次元の孤独~カナタノキミへ~][비고], [1W] @[SΛMVICΛ][비고], [1W] @[MΔX FLAVØR][비고], [1W] @[Crawl Out Immortal][비고]
21	일본에서 버츄얼 유튜버로 활동하고 있는 싱어송라이터. 유튜브	凛々咲 @[Aqua,Luna-rium][명의]
27	BMS에선 beatMARIO 였으나, 사볼 수록 버전에는 아티스트 명의 약간 수정.	ビートまりお(COOL&CREATE) @[Destined Marionette][명의]
35	MARON. IOSYS 소속. 사운드 볼텍스 플로어에서 PIERROT KNIfE, Jacob's Elevator가 당선된 적이 있다. 편곡과 작사 전부 두명의 합작.	ビートまりおとまろん @[天弓天華オトハナビ][명의]
36	사운드 볼텍스에 太陽はやめて！ぼくらのスカーレット警察로 참여한적이 있었다.	七条レタスグループ @[スカーレット警察のゲットーパトロール24時][명의]
58	天海ちはま(아마미 치하마) 명의로 버튜버 활동을 하고 있다.	あまみ×ひなみ @[Paradigm Shift][명의]
60	니지산지 소속 버튜버.	U-ske feat. 安土桃 @[イグノアザーズ][명의]
